x,y,x_unit,y_unit,source_pmid,fig_ref,series,panel,digitization_tool,date
3.7671,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.7900,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.8128,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.8356,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.8584,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.8813,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.9041,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.9269,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.9498,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.9726,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
3.9954,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
4.0183,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
4.0411,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
4.0639,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
4.0868,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
4.1096,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
4.1324,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
4.1553,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
4.1781,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
4.2009,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
4.2237,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
